epoch,loss_validation,loss_train,f1_validation,accuracy_validation,f1_test,accuracy_test
1,1.2524819065557655,1.2496994046963872,0.6452818490023606,0.6501352569882777,0.6962703282082228,0.7066373303997067
2,0.9720771757017345,0.9694552631433909,0.6955505383223115,0.6949954914337241,0.7556702789394428,0.7594426109277594
3,0.8828248899856808,0.8797085180769708,0.7198825775600419,0.7184400360685302,0.7813867057975226,0.7837367070040338
4,0.8362845649002022,0.8323194624567104,0.7333005569823955,0.7317403065825068,0.7963452637115644,0.7979464613127979
5,0.805693608994509,0.8008175278707208,0.7405667096114686,0.7391794409377818,0.8054843126681966,0.807022368903557
6,0.7836285903498967,0.7779810088988065,0.7486979789228625,0.7474075743913435,0.8120980026737378,0.8135313531353136
7,0.7663256199192326,0.7598541201660428,0.754523325972387,0.7532687105500451,0.815028167734245,0.8163733039970664
8,0.7521614573990525,0.7450323358734456,0.759061683284743,0.7577772768259693,0.8202014244923935,0.8214154748808215
9,0.739833203503347,0.732184143180916,0.762454534055158,0.7611587015329125,0.8246628684170961,0.8259075907590759
10,0.729021930731393,0.7208879799536834,0.7664441253030688,0.7652164111812444,0.8280168029261876,0.8292079207920792
11,0.7197561075380283,0.7111462186030395,0.7673610767181167,0.7662308385933273,0.8298251908298928,0.830949761642831
12,0.711416011672731,0.7023790535820474,0.7714900825535683,0.7705139765554554,0.8311870328532688,0.8322332233223322
13,0.7037026587330183,0.6942010212570097,0.774649545134345,0.7737826871055005,0.8325780690277471,0.8336083608360836
14,0.6967292011420633,0.6868694912093286,0.777630602751309,0.7768259693417493,0.8355985769484067,0.8365419875320865
15,0.6901542016213756,0.6800270511337764,0.779975300381092,0.7791929666366095,0.8382846426651402,0.8392005867253391
16,0.6845296977774442,0.6740523451855456,0.7817421888432647,0.7809963931469792,0.840499034083334,0.8414008067473414
17,0.6792861595283358,0.6684302239256632,0.7832902548427942,0.7825743913435528,0.8415303159977118,0.8424092409240924
18,0.6740892906352327,0.6629567122016168,0.7853800517379813,0.7847159603246168,0.8431751654045897,0.844059405940594
19,0.6692306586034871,0.6577748685087841,0.7866750939168192,0.7859558160504959,0.8450401569107395,0.8458929226255959
20,0.6643963528866076,0.6527409114205872,0.7882854313909673,0.7876465284039675,0.8460676279115449,0.8469013568023469
21,0.6599549610266372,0.6480172913027924,0.7892855645321937,0.7886609558160504,0.8475658669207282,0.8483681701503484
22,0.6558267559295898,0.6436778408682193,0.7907834024205356,0.7901262398557258,0.8491522108261922,0.8499266593325999
23,0.6519246181512403,0.6395393639689596,0.7922751453290393,0.7915915238954012,0.8500432227403378,0.8508434176751009
24,0.6478099448405059,0.6352754952295935,0.7930733517129367,0.792380522993688,0.851246996209736,0.852035203520352
25,0.6442970504655438,0.6315117101042277,0.7938489733732177,0.7931695220919748,0.8521958600212631,0.8529519618628529
26,0.6406747713490456,0.627636155981563,0.7957976308768833,0.7951983769161407,0.8537074414842124,0.8544187752108544
27,0.6373772284245882,0.6239599803185638,0.7959885615013106,0.7954238052299368,0.8549005655632916,0.8556105610561056
28,0.6339997994960992,0.6203088065129173,0.7966752802555097,0.7961000901713255,0.8562935766267217,0.856985698569857
29,0.6305212615503504,0.61650596392368,0.7974445000389433,0.7968890892696122,0.8573266195487511,0.857994132746608
30,0.6272930961243112,0.6130072059854006,0.7984446613574401,0.7979035166816952,0.8583291669294274,0.859002566923359
